Case,Docket,Author,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON
Royal Canin v. Wullschleger,23-677,Kagan,M,M,M,M,M*,M,M,M,M
E.M.D. Sales Inc v. Carrera,23-217,Kavanaugh,M,JRC,M,M,M,RC,M*,M,M
TikTok Inc. v. Garland,24-656,Per Curiam,M,M,M,SC,M,CJ,M,M,M
Andrew v. White,23-6573,Per Curiam,M,D,CJ,M,M,JD,M,M,M
Hungary v. Simon,23-867,Sotomayor,M,M,M,M*,M,M,M,M,M
Wisconsin Bell  v. United States ex rel. Heath,23-1127,Kagan,M,RC-JRC,JRC,M,M*,M,RC-JRC,M,M
Williams v. Washington,23-191,Kavanaugh,M,D,JD,M,M,JD,M*,JD,M
Lackey v. Stinnie,23-621,Roberts,M*,M,M,JD,M,M,M,M,D
Hamm v. Smith,23-167,Per Curiam,M,M,M,M,M,M,M,M,M
Facebook v. Amalgamated Bank,23-980,Per Curiam,M,M,M,M,M,M,M,M,M
Bouarafa v. Mayorkas,23-583,Jackson,M,M,M,M,M,M,M,M,M*
NVIDIA Corp.  v. E. Ohman J:or Fonder AB,23-970,Per Curiam,M,M,M,M,M,M,M,M,M
