Case,Attorney,Docket,total_words
Glossip v. Oklahoma,Christopher G. Michel,22-7466,3502
Glossip v. Oklahoma,Paul D. Clement,22-7466,3898
Glossip v. Oklahoma,Seth P. Waxman,22-7466,2997
Williams v. Washington,Adam G. Unikowsky,23-191,5388
Williams v. Washington,Edmund G. LaCour,23-191,3241
Medical Marijuana Inc. v. Horn,Easha Anand,23-365,4247
Medical Marijuana Inc. v. Horn,Lisa S. Blatt,23-365,4046
Bouarafa v. Mayorkas,Colleen E. Roh Sinzdak,23-583,1792
Bouarafa v. Mayorkas,Samir Deger-Sen,23-583,4687
Lackey v. Stinnie,Anthony A. Yang,23-621,2187
Lackey v. Stinnie,Brian D. Schmalzbach,23-621,3163
Lackey v. Stinnie,Erika L. Maley,23-621,2292
Royal Canin v. Wullschleger,Ashley C. Keller,23-677,1980
Royal Canin v. Wullschleger,Katherine B. Wellington,23-677,4775
Bufkin v. McDonough,Melanie L. Bostwick,23-713,4342
Bufkin v. McDonough,Sopan Joshi,23-713,3376
San Francisco v. EPA,Frederick Liu,23-753,4430
San Francisco v. EPA,Tara M. Steeley,23-753,3860
Garland v. Vanderstok,Elizabeth B. Prelogar,23-852,7059
Garland v. Vanderstok,Peter A. Patterson,23-852,3006
