"Justice","Coalition","Percent"
"Alito","Majority",82.17
"Alito","Minority",17.83
"Barrett","Majority",90.95
"Barrett","Minority",9.05
"Breyer","Majority",80.03
"Breyer","Minority",19.97
"Ginsburg","Majority",78.2
"Ginsburg","Minority",21.8
"Gorsuch","Majority",81.84
"Gorsuch","Minority",18.16
"Jackson","Majority",78.45
"Jackson","Minority",21.55
"Kagan","Majority",82.01
"Kagan","Minority",17.99
"Kavanaugh","Majority",94.05
"Kavanaugh","Minority",5.95
"Kennedy","Majority",92.79
"Kennedy","Minority",7.21
"Roberts","Majority",90.18
"Roberts","Minority",9.82
"Scalia","Majority",82.39
"Scalia","Minority",17.61
"Sotomayor","Majority",78.03
"Sotomayor","Minority",21.97
"Souter","Majority",74.24
"Souter","Minority",25.76
"Stevens","Majority",68.85
"Stevens","Minority",31.15
"Thomas","Majority",78.82
"Thomas","Minority",21.18
