"Justice","Vote","Raw Count","Percent"
"Alito","Majority",19,70.37
"Alito","Minority",8,29.63
"Barrett","Majority",22,81.48
"Barrett","Minority",5,18.52
"Gorsuch","Majority",17,62.96
"Gorsuch","Minority",10,37.04
"Jackson","Majority",11,40.74
"Jackson","Minority",16,59.26
"Kagan","Majority",10,37.04
"Kagan","Minority",17,62.96
"Kavanaugh","Majority",24,88.89
"Kavanaugh","Minority",3,11.11
"Roberts","Majority",25,92.59
"Roberts","Minority",2,7.41
"Sotomayor","Majority",10,37.04
"Sotomayor","Minority",17,62.96
"Thomas","Majority",19,70.37
"Thomas","Minority",8,29.63
