Attorney,Firm,Law School,SCOTUS Clerkship,Repeat Appearance,Num. Previous Cases
Matthew Guarnieri,SG Office,Columbia,NA,Yes,9
Megan M. Wold,Cooper and Kirk,Notre Dame,Alito,No,0
Michael R. Dreeben,Special Counsel,Duke,NA,Yes,105
Misha Tseytlin,Troutman Pepper,Georgetown,NA,Yes,2
Nandan M. Joshi,Public Citizen,Georgetown,NA,No,0
Neal Katyal,Hogan Lovells,Yale,Breyer,Yes,50
Nicole F. Reaves,SG Office,Virginia,Alito,Yes,5
Noel J. Francisco,Jones Day,Chicago,Scalia,Yes,20
Pamela S. Karlan,Stanford University,Yale,Blackmum,Yes,9
Paul Clement,Clement and Muprhy,Harvard,Scalia,Yes,110
Paul J. Beard Ii,Pierson Ferdinand,Cornell,NA,Yes,1
Pratik A. Shah,Akin Gump,California Berkeley,Breyer,Yes,16
Richard A. Simpson,Wiley,UNC,NA,No,0
Robert J. Mcnamara,Institure for Justice,NYU,NA,No,0
Robert M. Loeb,Orick Herrington,Chicago,NA,Yes,3
Roman Martinez,Latham Watkins,Yale,Roberts,Yes,13
S. Michael Mccolloch,McColloch Law,St. Mary's,NA,No,0
Shannon W. Stevenson,CO SG Office,Duke,NA,No,0
Shay Dvoretzky,Skadden Arps Slate Meagher and Flom LLP and Affiliates,Yale,Scalia,Yes,17
Sopan Joshi,SG Office,Northwestern,Scalia and  Alito,Yes,8
Stephen J. Petrany,GA AG Office,Yale,Alito,Yes,1
Steven Y. Yurowitz,Newman and Greenberg,Yeshiva,NA,No,0
Theane D. Evangelis,Gibson Dunn,NYU,O'Connor,No,0
Traci L. Lovitt,Jones Day,Duke,O'Connor,Yes,1
Victoria R. Ferres,Port Huron,Michigan State,NA,No,0
Vivek Suri,SG Office,Brooklyn Law School,NA,Yes,7
Yaira Dubin,SG Office,Harvard,Kagan,Yes,2
