short_hand,total_time_spoken,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON
Murthy v. Missouri,43.6,3.12,2.44,6.5,3.53,6.42,4.45,3.98,5.16,8
NRA v. Vullo,22.02,2.03,0.87,5.22,3.15,1.2,1.62,1.38,0.83,5.72
Diaz v. U.S.,37.77,2.21,1.26,4.74,4.87,6.88,7.57,1.09,1.85,7.3
Truck Insurance Exchange v. Kaiser Gypsum,27.9,3.65,1.9,0,8.32,3.78,2.1,1.92,3.03,3.2
Gonzalez v. Trevino,38.69,3.15,1.72,4.07,4.89,6.54,5.07,5.94,3.39,3.92
Becerra v. San Carlos Apache Tribe (Cons. w. 23-253),31.33,2.66,0.48,3.08,3.65,1.79,5.99,5.2,5.6,2.88
Texas v. New Mexico and Colorado,24.57,2.57,3.51,0.59,4.97,2.94,5.2,0,0.01,4.78
Harrow v. Dept. of Defense,12.69,1.02,0.2,2.72,1.53,1.39,2.29,0.43,0.48,2.63
FDA v. Alliance for Hippocratic Medicine (Cons. w. 23-236),35.23,2.23,1.73,6.44,3.5,7.11,2.78,0.19,5.01,6.24
Erlinger v. United States,31.18,1.26,0.59,8.07,1.94,1.63,5.36,5.73,2.19,4.41
Connelly v. United States,12.45,1.22,1.87,0,0.92,1.58,1.95,2.81,1.19,0.91
