case_name,combined
Snyder v. U.S.,\\ Sinzdak (6821) \\ Blatt (4650)
Chiaverini v. City of Napoleon,\\ Anand (3488) \\ Wold (2119) \\ Suri (976)
Fischer v. U.S.,\\ Prelogar (8064) \\ Green (3372)
Thornell v. Jones,\\ Lewis (2777) \\ Andre (3201)
City of Grants Pass v. Johnson,\\ Kneedler (5428) \\ Corkran (3462) \\ Evangelis (5198)
Smith v. Spizzirri,\\ Geyser (2805) \\ Rosenkranz (2888)
Dept. of State v. Munoz,\\ Gannon (4801) \\ Lee (4381)
Starbucks Corp. v. McKinney,\\ Raynor (3072) \\ Blatt (3167)
Moyle v. U.S. (Cons. w. 23-727),\\ Prelogar (6397) \\ Turner (4700)
Trump v. U.S.,\\ Sauer (5149) \\ Dreeben (9357)
